stock,date,daily_sentiment,sentiment_3d_avg,sentiment_momentum
A,2009-04-29,0.0,0.0,0.0
A,2009-06-01,0.0,0.0,0.0
A,2009-06-02,0.0,0.0,0.0
A,2009-07-14,0.51147,0.17049,0.34098
A,2009-07-30,0.0,0.17049,-0.17049
A,2009-08-04,0.0,0.17049,-0.17049
A,2009-08-06,-0.0156,-0.0052,-0.0104
A,2009-08-07,0.056425,0.013609,0.042817
A,2009-08-08,-0.513664,-0.157613,-0.356051
A,2009-08-09,0.104932,-0.117435,0.222368
A,2009-08-10,0.060738,-0.115998,0.176736
A,2009-08-11,0.270895,0.145522,0.125373
A,2009-08-12,0.142433,0.158022,-0.015589
A,2009-08-13,0.187506,0.200278,-0.012772
A,2009-08-14,0.065021,0.131653,-0.066632
A,2009-08-15,-0.071875,0.060217,-0.132092
A,2009-08-16,0.147462,0.04687,0.100592
A,2009-08-17,0.047867,0.041151,0.006715
A,2009-08-18,0.127198,0.107509,0.019689
A,2009-08-19,0.0,0.058355,-0.058355
A,2009-08-20,0.0,0.042399,-0.042399
A,2009-08-23,0.0,0.0,0.0
A,2009-08-25,-0.316739,-0.10558,-0.211159
A,2009-08-26,-0.475108,-0.263949,-0.211159
A,2009-08-27,0.0,-0.263949,0.263949
A,2009-08-28,0.0,-0.158369,0.158369
A,2009-08-29,0.0,0.0,0.0
A,2009-08-30,-0.16568,-0.055227,-0.110453
A,2009-08-31,-0.323975,-0.163218,-0.160757
A,2009-09-01,-0.108807,-0.199487,0.09068
A,2009-09-02,-0.186551,-0.206444,0.019893
A,2009-09-03,0.0,-0.098453,0.098453
A,2009-09-04,-0.227127,-0.137893,-0.089234
A,2009-09-05,0.0,-0.075709,0.075709
A,2009-09-06,-0.70616,-0.311095,-0.395064
A,2009-09-07,0.0,-0.235387,0.235387
A,2009-09-08,0.148053,-0.186035,0.334089
A,2009-09-09,-0.131384,0.005556,-0.136941
A,2009-09-10,-0.102143,-0.028491,-0.073652
A,2009-09-11,0.236584,0.001019,0.235565
A,2009-09-12,0.0,0.044814,-0.044814
A,2009-09-13,-0.19353,0.014351,-0.207881
A,2009-09-14,-0.001494,-0.065008,0.063514
A,2009-09-15,-0.194929,-0.129984,-0.064945
A,2009-10-05,0.0,-0.065474,0.065474
A,2009-11-05,0.0,-0.064976,0.064976
A,2009-11-13,0.0,0.0,0.0
A,2009-11-22,0.0,0.0,0.0
A,2009-12-22,0.0,0.0,0.0
A,2010-02-12,0.0,0.0,0.0
A,2010-02-17,0.0,0.0,0.0
A,2010-03-10,0.906732,0.302244,0.604488
A,2010-03-11,0.616112,0.507615,0.108498
A,2010-03-23,-0.747366,0.258493,-1.005859
A,2010-03-24,-0.747366,-0.292874,-0.454493
A,2010-03-26,0.0,-0.498244,0.498244
A,2010-04-20,0.0,-0.249122,0.249122
A,2010-04-29,0.755591,0.251864,0.503728
A,2010-05-04,0.0,0.251864,-0.251864
A,2010-05-11,0.0,0.251864,-0.251864
A,2010-05-17,-0.238908,-0.079636,-0.159272
A,2010-05-18,0.224394,-0.004838,0.229232
A,2010-05-19,0.0,-0.004838,0.004838
A,2010-05-20,0.0,0.074798,-0.074798
A,2010-05-24,0.0,0.0,0.0
A,2010-06-01,0.0,0.0,0.0
A,2010-06-08,0.0,0.0,0.0
A,2010-06-30,-0.587185,-0.195728,-0.391457
A,2010-08-16,0.0,-0.195728,0.195728
A,2010-08-17,0.23201,-0.118392,0.350402
A,2010-08-25,0.0,0.077337,-0.077337
A,2010-08-26,-0.454281,-0.07409,-0.38019
A,2010-09-06,0.0,-0.151427,0.151427
A,2010-09-13,0.0,-0.151427,0.151427
A,2010-09-20,0.0,0.0,0.0
A,2010-10-06,0.0,0.0,0.0
A,2010-10-07,0.0,0.0,0.0
A,2010-10-12,0.400165,0.133388,0.266776
A,2010-10-28,0.0,0.133388,-0.133388
A,2010-11-08,0.0,0.133388,-0.133388
A,2010-11-10,0.0,0.0,0.0
A,2010-11-12,-0.074269,-0.024756,-0.049513
A,2010-11-15,0.837552,0.254427,0.583124
A,2010-11-16,-0.279152,0.161377,-0.440529
A,2010-11-17,0.0,0.186133,-0.186133
A,2010-11-29,0.938357,0.219735,0.718622
A,2010-12-15,0.608794,0.515717,0.093077
A,2010-12-17,0.0,0.515717,-0.515717
A,2010-12-28,0.0,0.202931,-0.202931
A,2011-01-04,0.0,0.0,0.0
A,2011-01-10,0.0,0.0,0.0
A,2011-01-11,0.0,0.0,0.0
A,2011-01-12,0.0,0.0,0.0
A,2011-01-13,0.0,0.0,0.0
A,2011-01-19,0.0,0.0,0.0
A,2011-01-25,0.0,0.0,0.0
A,2011-02-11,0.904096,0.301365,0.602731
A,2011-02-13,0.0,0.301365,-0.301365
A,2011-02-14,0.113911,0.339336,-0.225425
A,2011-02-15,0.556526,0.223479,0.333047
A,2011-02-22,0.0,0.223479,-0.223479
A,2011-02-28,0.0,0.185509,-0.185509
A,2011-03-01,0.0,0.0,0.0
A,2011-03-02,0.944602,0.314867,0.629735
A,2011-03-04,0.0,0.314867,-0.314867
A,2011-03-05,0.0,0.314867,-0.314867
A,2011-03-10,0.0,0.0,0.0
A,2011-03-11,0.0,0.0,0.0
A,2011-03-21,0.0,0.0,0.0
A,2011-03-24,0.873328,0.291109,0.582218
A,2011-04-01,0.0,0.291109,-0.291109
A,2011-04-24,0.0,0.291109,-0.291109
A,2011-04-26,0.802514,0.267505,0.535009
A,2011-04-29,0.0,0.267505,-0.267505
A,2011-05-12,0.0,0.267505,-0.267505
A,2011-05-13,0.271045,0.090348,0.180697
A,2011-05-16,0.63645,0.302498,0.333952
A,2011-05-31,0.798676,0.568724,0.229952
A,2011-06-02,0.0,0.478375,-0.478375
A,2011-06-03,0.0,0.266225,-0.266225
A,2011-06-06,0.0,0.0,0.0
A,2011-06-07,0.917927,0.305976,0.611951
A,2011-06-09,0.282586,0.400171,-0.117585
A,2011-06-16,0.0,0.400171,-0.400171
A,2011-06-20,0.0,0.094195,-0.094195
A,2011-06-21,0.910736,0.303579,0.607158
A,2011-06-22,0.0,0.303579,-0.303579
A,2011-06-28,0.0,0.303579,-0.303579
A,2011-07-05,0.0,0.0,0.0
A,2011-07-08,0.0,0.0,0.0
A,2011-07-11,0.0,0.0,0.0
A,2011-07-15,0.897865,0.299288,0.598577
A,2011-07-16,0.0,0.299288,-0.299288
A,2011-07-18,-0.975359,-0.025831,-0.949527
A,2011-07-21,0.0,-0.32512,0.32512
A,2011-07-24,0.950701,-0.008219,0.95892
A,2011-07-25,0.0,0.3169,-0.3169
A,2011-07-27,0.0,0.3169,-0.3169
A,2011-07-28,0.0,0.0,0.0
